id,adj_p_value,p_value,t,b,logfc,gene_symbol,gene_title
201358_s_at,0.04259,0.0096,3.003759,-2.721374,0.4720483,COPB1,coatomer protein complex subunit beta 1
216289_at,0.04259,0.0096,-3.003635,-2.721602,-0.6112621,ADGRD2,adhesion G protein-coupled receptor D2
214986_x_at,0.04259,0.0096,-3.003617,-2.721636,-0.4629024,PPIL2,peptidylprolyl isomerase like 2
214648_at,0.04259,0.00961,-3.003483,-2.721883,-0.3871321,GPX5,glutathione peroxidase 5
211104_s_at,0.04259,0.00961,-3.003354,-2.72212,-0.5299731,MYO7A,myosin VIIA
209764_at,0.0426,0.00961,-3.003111,-2.722567,-0.5668095,MGAT3,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
217696_at,0.0426,0.00962,-3.003016,-2.722741,-0.7293481,FUT7,fucosyltransferase 7
202139_at,0.0426,0.00962,3.002973,-2.722821,0.4102669,AKR7A2,aldo-keto reductase family 7 member A2
201815_s_at,0.04262,0.00962,-3.002657,-2.723402,-0.4444102,TBC1D5,TBC1 domain family member 5
218959_at,0.04262,0.00962,-3.002511,-2.723671,-0.3521614,HOXC10,homeobox C10
207925_at,0.04262,0.00963,-3.002479,-2.723729,-0.4022443,CST5,cystatin D
202239_at,0.04263,0.00963,3.002176,-2.724287,0.778346,PARP4,poly(ADP-ribose) polymerase family member 4
207765_s_at,0.04263,0.00963,-3.002043,-2.724532,-0.4677474,FAM214B,family with sequence similarity 214 member B
203296_s_at,0.04263,0.00963,-3.002006,-2.7246,-0.2679705,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
215334_at,0.04263,0.00964,-3.00181,-2.724961,-0.479551,EFR3B,EFR3 homolog B
211231_x_at,0.04263,0.00964,-3.001787,-2.725003,-0.5891933,CYP4A11,cytochrome P450 family 4 subfamily A member 11
214665_s_at,0.04263,0.00964,3.001753,-2.725067,1.1941743,CHP1,calcineurin like EF-hand protein 1
212244_at,0.04264,0.00965,3.001312,-2.725878,0.4493919,GCOM1///POLR2M,GRINL1A complex locus 1///RNA polymerase II subunit M
211748_x_at,0.04264,0.00965,-3.001288,-2.725922,-0.5458567,PTGDS,prostaglandin D2 synthase
216483_s_at,0.04264,0.00965,3.001157,-2.726162,0.7719524,MYDGF,myeloid derived growth factor
215804_at,0.04264,0.00965,-3.001083,-2.726299,-0.4540862,EPHA1,EPH receptor A1
217954_s_at,0.04264,0.00965,3.001022,-2.72641,0.5444419,PHF3,PHD finger protein 3
215202_at,0.04264,0.00966,-3.000864,-2.726701,-0.5597979,GUSBP11,"glucuronidase, beta pseudogene 11"
207045_at,0.04264,0.00966,-3.000839,-2.726747,-0.3981148,VPS50,"VPS50, EARP/GARPII complex subunit"
211722_s_at,0.04264,0.00966,-3.000835,-2.726755,-0.408611,HDAC6,histone deacetylase 6
210158_at,0.04267,0.00967,-3.000353,-2.727642,-0.5401498,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
200718_s_at,0.0427,0.00968,2.999828,-2.728608,0.9064519,SKP1,S-phase kinase-associated protein 1
208138_at,0.04274,0.00969,-2.999251,-2.72967,-0.4919888,GAST,gastrin
221792_at,0.04275,0.00969,-2.999073,-2.729996,-0.6814543,RAB6B,"RAB6B, member RAS oncogene family"
207019_s_at,0.04276,0.0097,-2.998819,-2.730463,-0.4263338,AKAP4,A-kinase anchoring protein 4
206938_at,0.04277,0.0097,-2.998656,-2.730764,-0.5249769,SRD5A2,steroid 5 alpha-reductase 2
207553_at,0.04278,0.00971,-2.99827,-2.731473,-0.4289455,OPRK1,opioid receptor kappa 1
214296_x_at,0.04278,0.00971,-2.998252,-2.731507,-0.4081517,IZUMO4,IZUMO family member 4
220515_at,0.04278,0.00971,-2.998213,-2.731578,-0.5544562,DUSP21,dual specificity phosphatase 21
205128_x_at,0.04278,0.00971,-2.998166,-2.731665,-0.4395721,PTGS1,prostaglandin-endoperoxide synthase 1
215657_at,0.04278,0.00971,-2.998004,-2.731963,-0.3239281,SLC26A3,solute carrier family 26 member 3
219274_at,0.04279,0.00971,2.997815,-2.732311,1.1658674,TSPAN12,tetraspanin 12
220496_at,0.04279,0.00972,-2.99749,-2.732909,-0.3903417,CLEC1B,C-type lectin domain family 1 member B
207895_at,0.04279,0.00972,-2.997487,-2.732914,-0.4815421,NAALADL1,N-acetylated alpha-linked acidic dipeptidase-like 1
214485_at,0.0428,0.00973,-2.99723,-2.733386,-0.592175,ODF1,outer dense fiber of sperm tails 1
204943_at,0.04281,0.00973,-2.997057,-2.733704,-0.4714352,ADAM12,ADAM metallopeptidase domain 12
206399_x_at,0.04281,0.00973,-2.996953,-2.733895,-0.5194967,LOC100507353///CACNA1A,uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A
205242_at,0.04282,0.00974,-2.996707,-2.734347,-0.6565921,CXCL13,C-X-C motif chemokine ligand 13
218731_s_at,0.04283,0.00974,-2.996417,-2.734881,-0.5918319,VWA1,von Willebrand factor A domain containing 1
220808_at,0.04283,0.00974,-2.996238,-2.735211,-0.5031171,THEG,theg spermatid protein
206128_at,0.04283,0.00975,-2.996186,-2.735306,-0.5273757,ADRA2C,adrenoceptor alpha 2C
213952_s_at,0.04283,0.00975,-2.996186,-2.735307,-0.4735633,ALOX5,arachidonate 5-lipoxygenase
202636_at,0.04284,0.00975,2.995712,-2.736178,1.0868669,RNF103,ring finger protein 103
219536_s_at,0.04284,0.00976,-2.99569,-2.736219,-0.4810921,ZFP64,ZFP64 zinc finger protein
55583_at,0.04284,0.00976,-2.995429,-2.736699,-0.4493986,DOCK6,dedicator of cytokinesis 6
202953_at,0.04284,0.00976,-2.995416,-2.736722,-0.5369312,C1QB,complement C1q B chain
217056_at,0.04284,0.00976,-2.995413,-2.736729,-0.2691436,YME1L1,YME1 like 1 ATPase
215769_at,0.04284,0.00976,-2.995413,-2.736729,-0.4406355,YME1L1,YME1 like 1 ATPase
220335_x_at,0.04286,0.00977,-2.995023,-2.737445,-0.4983352,CES3,carboxylesterase 3
216486_x_at,0.04287,0.00977,-2.994822,-2.737814,-0.4083812,ZNF79,zinc finger protein 79
208605_s_at,0.04287,0.00978,-2.994637,-2.738155,-0.4745152,NTRK1,neurotrophic receptor tyrosine kinase 1
222289_at,0.04287,0.00978,-2.994567,-2.738283,-0.4144602,KCNC2,potassium voltage-gated channel subfamily C member 2
205714_s_at,0.04287,0.00978,-2.994503,-2.738402,-0.5705955,ZMYND10,zinc finger MYND-type containing 10
213698_at,0.04289,0.00979,2.994115,-2.739115,0.9034902,TMEM35B///ZMYM6,transmembrane protein 35B///zinc finger MYM-type containing 6
204779_s_at,0.04289,0.00979,-2.994053,-2.739229,-0.2980226,HOXB7,homeobox B7
213696_s_at,0.04298,0.00981,2.992887,-2.741374,0.6602383,MED8,mediator complex subunit 8
218712_at,0.04298,0.00981,2.992859,-2.741425,0.3837105,C1orf109,chromosome 1 open reading frame 109
206907_at,0.04299,0.00981,-2.992595,-2.74191,-0.3198271,TNFSF9,tumor necrosis factor superfamily member 9
221351_at,0.04301,0.00982,-2.992286,-2.742479,-0.5003436,HTR1A,5-hydroxytryptamine receptor 1A
210660_at,0.04301,0.00982,-2.992157,-2.742715,-0.4127869,LILRA1,leukocyte immunoglobulin like receptor A1
210376_x_at,0.04301,0.00982,-2.992091,-2.742836,-0.5149881,ELK1,"ELK1, ETS transcription factor"
208537_at,0.04301,0.00983,-2.99201,-2.742987,-0.6333507,S1PR2,sphingosine-1-phosphate receptor 2
213086_s_at,0.04309,0.00985,2.990996,-2.74485,1.3419367,CSNK1A1,casein kinase 1 alpha 1
213423_x_at,0.04309,0.00985,2.990812,-2.745189,1.6163024,TUSC3,tumor suppressor candidate 3
208215_x_at,0.04309,0.00985,-2.990764,-2.745278,-0.3513005,DRD4,dopamine receptor D4
205220_at,0.04313,0.00987,-2.98999,-2.7467,-0.52073,HCAR3,hydroxycarboxylic acid receptor 3
218421_at,0.04313,0.00987,2.989902,-2.746862,0.7575102,CERK,ceramide kinase
211841_s_at,0.04313,0.00987,-2.98984,-2.746975,-0.4783952,TNFRSF25,TNF receptor superfamily member 25
214174_s_at,0.04313,0.00987,-2.989696,-2.747241,-0.5779967,PDLIM4,PDZ and LIM domain 4
211195_s_at,0.04313,0.00987,-2.989648,-2.747329,-0.676871,TP63,tumor protein p63
206260_at,0.04313,0.00987,-2.989636,-2.747351,-0.4364914,TGM4,transglutaminase 4
222115_x_at,0.04313,0.00987,-2.989614,-2.747391,-0.3759364,GLYR1,glyoxylate reductase 1 homolog
202006_at,0.04316,0.00988,2.989172,-2.748203,1.3381788,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
202653_s_at,0.04317,0.00989,2.98875,-2.748981,1.0381062,MARCH7,membrane associated ring-CH-type finger 7
212305_s_at,0.04317,0.00989,2.988711,-2.749052,0.4982,MIA3,"MIA family member 3, ER export factor"
216397_s_at,0.04317,0.00989,-2.988657,-2.74915,-0.6839912,MIR7112///BOP1,microRNA 7112///block of proliferation 1
219975_x_at,0.04317,0.00989,-2.988567,-2.749316,-0.3082274,OLAH,oleoyl-ACP hydrolase
206360_s_at,0.04319,0.0099,-2.988296,-2.749815,-0.5957207,SOCS3,suppressor of cytokine signaling 3
217593_at,0.04321,0.00991,-2.987926,-2.750495,-0.4235848,ZSCAN18,zinc finger and SCAN domain containing 18
203294_s_at,0.04321,0.00991,-2.987809,-2.75071,-0.4936957,LMAN1,"lectin, mannose binding 1"
50376_at,0.04321,0.00991,-2.987731,-2.750854,-0.8983798,ZNF444,zinc finger protein 444
207673_at,0.04322,0.00991,-2.987512,-2.751256,-0.4567981,NPHS1,"NPHS1, nephrin"
200973_s_at,0.04325,0.00992,2.987057,-2.752093,1.2270962,TSPAN3,tetraspanin 3
211419_s_at,0.04325,0.00992,-2.986993,-2.752211,-0.332139,CHN2,chimerin 2
201262_s_at,0.04328,0.00993,-2.986483,-2.753148,-0.4848024,BGN,biglycan
212973_at,0.04329,0.00994,2.986353,-2.753386,0.7467471,RPIA,ribose 5-phosphate isomerase A
218885_s_at,0.0433,0.00994,2.986051,-2.753942,1.6328269,GALNT12,polypeptide N-acetylgalactosaminyltransferase 12
216828_at,0.0433,0.00994,-2.986012,-2.754014,-0.4238276,LOC100505874///MLLT10P1,"uncharacterized LOC100505874///myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10 pseudogene 1"
215987_at,0.04332,0.00995,-2.985712,-2.754565,-0.3777562,RAPGEF2,Rap guanine nucleotide exchange factor 2
212140_at,0.04333,0.00995,2.985501,-2.754953,0.8039295,PDS5A,PDS5 cohesin associated factor A
220447_at,0.04334,0.00996,-2.985198,-2.75551,-0.5538536,HRH3,histamine receptor H3
201303_at,0.04336,0.00997,2.984658,-2.756502,1.1008281,EIF4A3,eukaryotic translation initiation factor 4A3
221401_at,0.04336,0.00997,-2.984602,-2.756604,-0.4313574,CACNG5,calcium voltage-gated channel auxiliary subunit gamma 5
205763_s_at,0.04336,0.00997,2.984531,-2.756736,0.8437995,DDX18,DEAD-box helicase 18
206811_at,0.04336,0.00997,-2.984486,-2.756819,-0.5191974,ADCY8,adenylate cyclase 8
218678_at,0.04336,0.00998,-2.984345,-2.757077,-0.4825719,NES,nestin
216940_x_at,0.04336,0.00998,-2.984307,-2.757148,-0.5325302,YBX1,Y-box binding protein 1
211589_at,0.04336,0.00998,-2.984179,-2.757383,-0.7129007,PML,promyelocytic leukemia
211965_at,0.04336,0.00998,-2.984131,-2.757472,-0.4393202,ZFP36L1,ZFP36 ring finger protein like 1
204529_s_at,0.04336,0.00998,2.984051,-2.757618,1.3281655,TOX,thymocyte selection associated high mobility group box
210211_s_at,0.04343,0.01,2.983226,-2.759134,0.7428786,HSP90AA1,heat shock protein 90 alpha family class A member 1
52285_f_at,0.04345,0.01,2.982881,-2.759768,0.5920738,CEP76,centrosomal protein 76
207329_at,0.04345,0.01,-2.98263,-2.760229,-0.3577826,MMP8,matrix metallopeptidase 8
221865_at,0.04345,0.01,2.98262,-2.760248,0.4525455,TMEM268,transmembrane protein 268
220594_at,0.04345,0.01,-2.982525,-2.760422,-0.4665971,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
206517_at,0.04345,0.01,-2.9822,-2.761021,-0.5775788,CDH16,cadherin 16
203205_at,0.04345,0.01,-2.982086,-2.761229,-0.4574179,KDM4A,lysine demethylase 4A
206391_at,0.04345,0.01,-2.982026,-2.761339,-0.6567431,RARRES1,retinoic acid receptor responder 1
206195_x_at,0.04345,0.01,-2.981861,-2.761643,-0.488416,GH2,growth hormone 2
207244_x_at,0.04347,0.01,-2.981561,-2.762194,-0.6011276,CYP2A6,cytochrome P450 family 2 subfamily A member 6
213781_at,0.04347,0.01,-2.981459,-2.762382,-0.5071031,PPP1R37,protein phosphatase 1 regulatory subunit 37
218941_at,0.04347,0.01,2.98139,-2.762508,0.6633438,FBXW2,F-box and WD repeat domain containing 2
202257_s_at,0.04347,0.01,2.981107,-2.763028,0.5705964,CD2BP2,CD2 cytoplasmic tail binding protein 2
215260_s_at,0.04347,0.01,-2.981095,-2.76305,-0.4491683,TCF3,transcription factor 3
202582_s_at,0.04347,0.01,2.981033,-2.763164,1.052605,RANBP9,RAN binding protein 9
219672_at,0.04347,0.01,-2.98087,-2.763464,-0.5506874,AHSP,alpha hemoglobin stabilizing protein
207069_s_at,0.04347,0.01,-2.980849,-2.763502,-0.4153667,SMAD6,SMAD family member 6
206298_at,0.04347,0.01,-2.980672,-2.763828,-0.4735721,ARHGAP22,Rho GTPase activating protein 22
219103_at,0.04347,0.01,-2.980602,-2.763957,-0.4521529,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
222085_at,0.04347,0.0101,-2.980461,-2.764215,-0.4298748,FAM174B,family with sequence similarity 174 member B
209307_at,0.04347,0.0101,2.980448,-2.764239,1.3522629,SWAP70,SWAP switching B-cell complex 70kDa subunit
220314_at,0.04347,0.0101,-2.980401,-2.764325,-0.4469983,HSFX1///HSFX2,"heat shock transcription factor family, X-linked 1///heat shock transcription factor family, X-linked 2"
203923_s_at,0.0435,0.0101,-2.979854,-2.765331,-0.4624119,CYBB,cytochrome b-245 beta chain
205930_at,0.04351,0.0101,2.979641,-2.765722,0.5546514,GTF2E1,general transcription factor IIE subunit 1
209481_at,0.04351,0.0101,2.979606,-2.765786,0.7152331,SNRK,SNF related kinase
207093_s_at,0.04354,0.0101,-2.979142,-2.766638,-0.4175105,LOC101927057///OMG,uncharacterized LOC101927057///oligodendrocyte myelin glycoprotein
207880_at,0.04354,0.0101,-2.979005,-2.76689,-0.5622505,ADAM11,ADAM metallopeptidase domain 11
203094_at,0.04355,0.0101,2.97879,-2.767287,0.4734729,MAD2L1BP,MAD2L1 binding protein
218389_s_at,0.04357,0.0101,2.978458,-2.767896,0.3899367,APH1A,"aph-1 homolog A, gamma-secretase subunit"
207792_at,0.04357,0.0101,-2.978356,-2.768082,-0.5719445,OPRD1,opioid receptor delta 1
204678_s_at,0.04357,0.0101,2.978305,-2.768177,1.2858781,KCNK1,potassium two pore domain channel subfamily K member 1
205232_s_at,0.04358,0.0101,-2.978087,-2.768577,-0.5327424,PAFAH2,platelet activating factor acetylhydrolase 2
213208_at,0.04359,0.0101,2.977904,-2.768914,0.6083733,GLTSCR1L,GLTSCR1 like
206407_s_at,0.04359,0.0101,-2.977793,-2.769118,-0.3892786,CCL13,C-C motif chemokine ligand 13
209359_x_at,0.04359,0.0101,-2.977594,-2.769483,-0.8896912,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
205489_at,0.04359,0.0101,-2.977585,-2.7695,-0.4160469,CRYM,crystallin mu
202523_s_at,0.04359,0.0101,-2.977484,-2.769685,-0.2910374,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
220215_at,0.04359,0.0101,-2.977398,-2.769842,-0.5147005,ZNF669,zinc finger protein 669
1255_g_at,0.04359,0.0101,-2.977222,-2.770166,-0.3497962,GUCA1A,guanylate cyclase activator 1A
219621_at,0.04359,0.0101,-2.977213,-2.770184,-0.4553812,CLSPN,claspin
219987_at,0.04359,0.0101,-2.976968,-2.770634,-0.4071252,ERVMER34-1,endogenous retrovirus group MER34 member 1
218545_at,0.04359,0.0101,2.976865,-2.770822,1.0908343,CCDC91,coiled-coil domain containing 91
210585_s_at,0.04359,0.0101,-2.976758,-2.771019,-0.3697557,TNPO2,transportin 2
218184_at,0.04359,0.0101,2.976739,-2.771053,0.77877,TULP4,tubby like protein 4
209592_s_at,0.0436,0.0101,2.976511,-2.771472,0.6270279,DCAF7,DDB1 and CUL4 associated factor 7
207902_at,0.0436,0.0101,-2.976505,-2.771484,-0.4227743,IL5RA,interleukin 5 receptor subunit alpha
207591_s_at,0.04361,0.0101,-2.976251,-2.771951,-0.5753257,ARID1A,AT-rich interaction domain 1A
214153_at,0.04364,0.0101,-2.975811,-2.772759,-0.3526526,ELOVL5,ELOVL fatty acid elongase 5
219290_x_at,0.04366,0.0102,-2.975536,-2.773264,-0.5694807,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
211491_at,0.04367,0.0102,-2.975296,-2.773706,-0.2772452,ADRA1A,adrenoceptor alpha 1A
200740_s_at,0.04368,0.0102,2.975079,-2.774104,0.7864626,SUMO3,small ubiquitin-like modifier 3
215699_x_at,0.04371,0.0102,-2.97462,-2.774946,-0.5230795,SFI1,SFI1 centrin binding protein
210924_at,0.04372,0.0102,-2.974421,-2.775313,-0.4834826,OLFM1,olfactomedin 1
200732_s_at,0.04374,0.0102,2.974099,-2.775903,1.2241686,PTP4A1,"protein tyrosine phosphatase type IVA, member 1"
205021_s_at,0.04374,0.0102,-2.973994,-2.776097,-0.7551398,FOXN3,forkhead box N3
216059_at,0.04376,0.0102,-2.973566,-2.776884,-0.608111,PAX3,paired box 3
219753_at,0.04376,0.0102,-2.973483,-2.777035,-0.467144,STAG3,stromal antigen 3
201993_x_at,0.04376,0.0102,2.973377,-2.777229,0.8424131,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
215776_at,0.04376,0.0102,-2.973321,-2.777333,-0.5369286,INSRR,insulin receptor related receptor
209405_s_at,0.04376,0.0102,-2.973244,-2.777474,-0.4887883,FAM3A,family with sequence similarity 3 member A
217686_at,0.04376,0.0102,-2.973164,-2.777621,-0.5178717,PTPN1,"protein tyrosine phosphatase, non-receptor type 1"
218177_at,0.04376,0.0102,2.973055,-2.777822,0.6909171,CHMP1B,charged multivesicular body protein 1B
210745_at,0.04376,0.0102,-2.972727,-2.778424,-0.4271729,ONECUT1,one cut homeobox 1
207058_s_at,0.04376,0.0102,-2.972724,-2.77843,-0.403511,PARK2,parkin RBR E3 ubiquitin protein ligase
206338_at,0.04378,0.0102,-2.972376,-2.779068,-0.6208019,ELAVL3,ELAV like neuron-specific RNA binding protein 3
217515_s_at,0.04379,0.0102,-2.972118,-2.779543,-0.5603383,CACNA1S,calcium voltage-gated channel subunit alpha1 S
219554_at,0.04379,0.0102,-2.972051,-2.779666,-0.5894807,RHCG,Rh family C glycoprotein
202765_s_at,0.04379,0.0102,-2.972048,-2.77967,-0.4856521,FBN1,fibrillin 1
208303_s_at,0.04379,0.0102,-2.971936,-2.779877,-0.6229907,CRLF2,cytokine receptor-like factor 2
215870_s_at,0.0438,0.0102,-2.971681,-2.780345,-0.30042,PLA2G5,phospholipase A2 group V
212937_s_at,0.0438,0.0102,-2.971666,-2.780372,-0.607421,COL6A1,collagen type VI alpha 1 chain
211120_x_at,0.04382,0.0102,-2.971269,-2.781101,-0.4254671,ESR2,estrogen receptor 2
213636_at,0.04382,0.0102,-2.971146,-2.781329,-0.4868214,PHF24,PHD finger protein 24
206966_s_at,0.04382,0.0102,-2.971025,-2.781551,-0.4714264,KLF12,Kruppel like factor 12
217035_at,0.04382,0.0102,-2.970844,-2.781883,-0.491155,SKAP2,src kinase associated phosphoprotein 2
217853_at,0.04382,0.0102,2.970812,-2.781941,0.8357193,TNS3,tensin 3
210943_s_at,0.04382,0.0102,-2.97073,-2.782092,-0.5939281,LYST,lysosomal trafficking regulator
205544_s_at,0.04384,0.0103,-2.970368,-2.782757,-0.4932131,CR2,complement component 3d receptor 2
205375_at,0.04385,0.0103,-2.970151,-2.783155,-0.4562229,MDFI,MyoD family inhibitor
207834_at,0.04386,0.0103,-2.969839,-2.783728,-0.4795955,FBLN1,fibulin 1
208685_x_at,0.04388,0.0103,-2.969373,-2.784584,-0.7088279,BRD2,bromodomain containing 2
220861_at,0.04388,0.0103,-2.969291,-2.784734,-0.3414638,USP22,ubiquitin specific peptidase 22
212673_at,0.04388,0.0103,2.969289,-2.784739,0.6993998,METAP1,methionyl aminopeptidase 1
209855_s_at,0.04388,0.0103,-2.969117,-2.785054,-0.5383352,KLK2,kallikrein related peptidase 2
209521_s_at,0.04388,0.0103,-2.969025,-2.785222,-0.3255807,AMOT,angiomotin
218009_s_at,0.04388,0.0103,2.969011,-2.785249,0.6652936,PRC1,protein regulator of cytokinesis 1
216014_s_at,0.04389,0.0103,-2.968825,-2.78559,-0.3938081,ZXDB///ZXDA,"zinc finger, X-linked, duplicated B///zinc finger, X-linked, duplicated A"
205906_at,0.0439,0.0103,-2.968636,-2.785937,-0.3782426,FOXJ1,forkhead box J1
201204_s_at,0.04393,0.0103,-2.968158,-2.786814,-0.6214179,RRBP1,ribosome binding protein 1
209103_s_at,0.04394,0.0103,2.967912,-2.787267,1.0128805,UFD1L,ubiquitin fusion degradation 1 like (yeast)
210408_s_at,0.04395,0.0103,-2.967728,-2.787605,-0.3989686,CPNE6,copine 6
215684_s_at,0.04397,0.0103,2.96745,-2.788115,0.5181005,ASCC2,activating signal cointegrator 1 complex subunit 2
209734_at,0.04398,0.0103,-2.967166,-2.788637,-0.3678981,NCKAP1L,NCK associated protein 1 like
205275_at,0.04404,0.0103,-2.966275,-2.790273,-0.4140126,GTPBP1,GTP binding protein 1
214652_at,0.04405,0.0103,-2.966044,-2.790696,-0.3250074,DRD1,dopamine receptor D1
207013_s_at,0.04407,0.0103,-2.965746,-2.791243,-0.3323843,MMP16,matrix metallopeptidase 16
204575_s_at,0.04407,0.0103,-2.96565,-2.79142,-0.5747988,MMP19,matrix metallopeptidase 19
208851_s_at,0.04408,0.0104,-2.965444,-2.791798,-0.4218507,THY1,Thy-1 cell surface antigen
219530_at,0.04408,0.0104,2.965279,-2.7921,0.7712067,PALB2,partner and localizer of BRCA2
41512_at,0.04408,0.0104,2.965102,-2.792427,0.460879,BRAP,BRCA1 associated protein
220505_at,0.04408,0.0104,-2.965027,-2.792564,-0.5289112,CDKN2A-AS1,CDKN2A antisense RNA 1 (head to head)
217275_at,0.04409,0.0104,-2.964812,-2.792959,-0.5482076,TSSK2,testis specific serine kinase 2
206194_at,0.0441,0.0104,-2.964697,-2.79317,-0.3913943,HOXC4,homeobox C4
217104_at,0.04419,0.0104,-2.963501,-2.795365,-0.3255274,ST20,suppressor of tumorigenicity 20
204229_at,0.04425,0.0104,-2.962676,-2.79688,-0.5627776,SLC17A7,solute carrier family 17 member 7
48580_at,0.04427,0.0104,-2.962386,-2.797411,-0.6838193,CXXC1,CXXC finger protein 1
217055_x_at,0.04431,0.0104,-2.961885,-2.798331,-0.4509921,SLC1A2,solute carrier family 1 member 2
43934_at,0.04432,0.0104,-2.96164,-2.798781,-0.5056067,GPR137,G protein-coupled receptor 137
218217_at,0.04434,0.0104,2.961157,-2.799667,0.8063455,SCPEP1,serine carboxypeptidase 1
212785_s_at,0.04434,0.0104,2.961115,-2.799744,0.8204279,LARP7,La ribonucleoprotein domain family member 7
207143_at,0.04434,0.0104,-2.961004,-2.799948,-0.4102648,CDK6,cyclin dependent kinase 6
213883_s_at,0.04434,0.0104,2.960947,-2.800053,0.9733774,TM2D1,TM2 domain containing 1
204856_at,0.04434,0.0105,-2.960699,-2.800508,-0.4343014,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
209031_at,0.04434,0.0105,2.960693,-2.800519,1.2849581,CADM1,cell adhesion molecule 1
214520_at,0.04434,0.0105,-2.960556,-2.800771,-0.4313221,FOXC2,forkhead box C2
209241_x_at,0.04434,0.0105,-2.96049,-2.800892,-0.6779457,MINK1,misshapen like kinase 1
206798_x_at,0.04436,0.0105,-2.960223,-2.801381,-0.451479,DLEC1,deleted in lung and esophageal cancer 1
216979_at,0.04436,0.0105,-2.960116,-2.801578,-0.393265,NR4A3,nuclear receptor subfamily 4 group A member 3
213456_at,0.04436,0.0105,-2.959983,-2.801822,-0.3339331,SOSTDC1,sclerostin domain containing 1
207084_at,0.04437,0.0105,-2.959792,-2.802173,-0.2921812,POU3F2,POU class 3 homeobox 2
202077_at,0.0444,0.0105,2.959318,-2.803043,0.6870955,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
219490_s_at,0.04444,0.0105,-2.95869,-2.804196,-0.3704086,DCLRE1B,DNA cross-link repair 1B
205400_at,0.04445,0.0105,-2.958452,-2.804633,-0.4886245,WAS,Wiskott-Aldrich syndrome
208000_at,0.04445,0.0105,-2.958319,-2.804876,-0.5796376,GML,glycosylphosphatidylinositol anchored molecule like
214788_x_at,0.04445,0.0105,-2.958259,-2.804986,-0.551646,DDN,dendrin
221309_at,0.04446,0.0105,-2.958058,-2.805355,-0.6363314,RBM17,RNA binding motif protein 17
216204_at,0.04448,0.0105,-2.957571,-2.80625,-0.5452507,COMT,catechol-O-methyltransferase
219632_s_at,0.04448,0.0105,-2.957556,-2.806277,-0.4645702,SHPK///TRPV1,sedoheptulokinase///transient receptor potential cation channel subfamily V member 1
218396_at,0.04448,0.0105,2.957536,-2.806313,1.9240102,VPS13C,vacuolar protein sorting 13 homolog C
209385_s_at,0.04449,0.0105,2.957253,-2.806833,0.8233119,PROSC,proline synthetase cotranscribed homolog (bacterial)
221996_s_at,0.04451,0.0105,-2.957007,-2.807284,-0.4585726,CLTB,clathrin light chain B
202141_s_at,0.04453,0.0105,2.956645,-2.807949,0.9680367,COPS8,COP9 signalosome subunit 8
209502_s_at,0.04457,0.0105,-2.956094,-2.808958,-0.53645,BAIAP2,BAI1 associated protein 2
218647_s_at,0.04457,0.0105,2.955996,-2.809139,0.9093138,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing
213732_at,0.04458,0.0106,-2.955669,-2.809738,-0.3224179,TCF3,transcription factor 3
218185_s_at,0.04458,0.0106,2.955645,-2.809782,0.8117033,ARMC1,armadillo repeat containing 1
219346_at,0.0446,0.0106,-2.955344,-2.810335,-0.6243371,LRFN3,leucine rich repeat and fibronectin type III domain containing 3
211597_s_at,0.0446,0.0106,2.955069,-2.81084,2.2501486,HOPX,HOP homeobox
212636_at,0.0446,0.0106,2.955027,-2.810917,0.4604652,QKI,"QKI, KH domain containing RNA binding"
34697_at,0.04463,0.0106,-2.954657,-2.811595,-0.2710388,LRP6,LDL receptor related protein 6
205632_s_at,0.04465,0.0106,2.954339,-2.812179,1.1606788,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta
207402_at,0.04469,0.0106,-2.953722,-2.813312,-0.3600152,ZNF132,zinc finger protein 132
215594_at,0.04469,0.0106,-2.953672,-2.813403,-0.5842729,ERV9-1,endogenous retrovirus group 9 member 1
210890_x_at,0.04469,0.0106,-2.953532,-2.813659,-0.6040057,KIR2DL1,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1"
201989_s_at,0.04471,0.0106,2.953273,-2.814136,1.3353307,CREBL2,cAMP responsive element binding protein like 2
206498_at,0.04473,0.0106,-2.952931,-2.814762,-0.3741033,OCA2,OCA2 melanosomal transmembrane protein
